inputText,targetArtifactId,targetCategory,targetWorkspace,targetPack,targetProduct,labelType,confidence
/api/nlu/predict,nlu-corpus-111,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|clinical_guideline_lookup|corpus,nlu-corpus-111,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's the evidence-based approach to community-acquired pneumonia?,nlu-corpus-111,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
lab_interpretation query,nlu-corpus-112,lab_interpretation,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-112,lab_interpretation,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|lab_interpretation|corpus,nlu-corpus-112,lab_interpretation,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Explain the significance of elevated BNP levels,nlu-corpus-112,lab_interpretation,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
clinical_guideline_lookup query,nlu-corpus-113,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-113,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|clinical_guideline_lookup|corpus,nlu-corpus-113,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What are the institutional protocols for acute stroke?,nlu-corpus-113,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
clinical_guideline_lookup query,nlu-corpus-114,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-114,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|clinical_guideline_lookup|corpus,nlu-corpus-114,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's the recommended approach to pain management in the ED?,nlu-corpus-114,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
clinical_guideline_lookup query,nlu-corpus-115,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-115,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|clinical_guideline_lookup|corpus,nlu-corpus-115,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What is the sepsis protocol?,nlu-corpus-115,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
clinical_guideline_lookup query,nlu-corpus-116,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-116,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|clinical_guideline_lookup|corpus,nlu-corpus-116,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Show me the protocol for managing diabetic ketoacidosis,nlu-corpus-116,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-117,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-117,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-117,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Show medication history for this patient,nlu-corpus-117,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-118,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-118,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-118,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Give me a status summary for this admission,nlu-corpus-118,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-119,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-119,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-119,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Show recent imaging results for this patient,nlu-corpus-119,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
emergency_alert query,nlu-corpus-12,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-12,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|emergency_alert|corpus,nlu-corpus-12,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Acute limb ischemia with absent pulses,nlu-corpus-12,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-120,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-120,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-120,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Pull up patient records,nlu-corpus-120,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
general_clinical_query query,nlu-corpus-121,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-121,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|general_clinical_query|corpus,nlu-corpus-121,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Explain the mechanism of beta blockers,nlu-corpus-121,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-122,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-122,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-122,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Check the patient's intake and output for today,nlu-corpus-122,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-123,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-123,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-123,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's the trend in this patient's oxygen saturation?,nlu-corpus-123,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
clinical_guideline_lookup query,nlu-corpus-124,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-124,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|clinical_guideline_lookup|corpus,nlu-corpus-124,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Look up the institutional policy for central line insertion,nlu-corpus-124,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-125,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-125,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-125,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Give me a summary of overnight events for this patient,nlu-corpus-125,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-126,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-126,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-126,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
How has this patient's pain score changed over the shift?,nlu-corpus-126,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-127,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-127,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-127,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Pull the latest vitals for this patient,nlu-corpus-127,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-128,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-128,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-128,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Show patient allergy information,nlu-corpus-128,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-129,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-129,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-129,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's the current status of this patient's pressure injury?,nlu-corpus-129,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
emergency_alert query,nlu-corpus-13,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-13,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|emergency_alert|corpus,nlu-corpus-13,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Multiple trauma from motor vehicle accident,nlu-corpus-13,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-130,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-130,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-130,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's the latest ventilator weaning progress for this patient?,nlu-corpus-130,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-131,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-131,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-131,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's this patient's current vital sign trend?,nlu-corpus-131,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-132,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-132,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-132,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Show me this patient's vital sign history since admission,nlu-corpus-132,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
general_clinical_query query,nlu-corpus-133,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-133,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|general_clinical_query|corpus,nlu-corpus-133,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
How does the immune system respond to sepsis?,nlu-corpus-133,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-134,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-134,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-134,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Is the patient's condition improving or worsening?,nlu-corpus-134,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
clinical_guideline_lookup query,nlu-corpus-135,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-135,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|clinical_guideline_lookup|corpus,nlu-corpus-135,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Show the institutional policy for restraint use,nlu-corpus-135,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-136,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-136,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-136,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's the current Glasgow Coma Scale for this patient?,nlu-corpus-136,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-137,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-137,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-137,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Check if the patient's chest tube output has decreased,nlu-corpus-137,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-138,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-138,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-138,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's the latest on this patient's wound healing progress?,nlu-corpus-138,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-139,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-139,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-139,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Update me on the patient in bed 12,nlu-corpus-139,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
emergency_alert query,nlu-corpus-14,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-14,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|emergency_alert|corpus,nlu-corpus-14,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Severe hyperkalemia with peaked T waves on EKG,nlu-corpus-14,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-140,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-140,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-140,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Has the patient's mental status changed since this morning?,nlu-corpus-140,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-141,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-141,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-141,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Is the patient tolerating the oxygen weaning trial?,nlu-corpus-141,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-142,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-142,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-142,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Check this patient's urine output over the last shift,nlu-corpus-142,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-143,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-143,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-143,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Any change in this patient's wound drainage since this morning?,nlu-corpus-143,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-144,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-144,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-144,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Check the current telemetry rhythm for this patient,nlu-corpus-144,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
general_clinical_query query,nlu-corpus-145,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-145,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|general_clinical_query|corpus,nlu-corpus-145,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's the mechanism behind aspirin's antiplatelet effect?,nlu-corpus-145,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
general_clinical_query query,nlu-corpus-146,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-146,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|general_clinical_query|corpus,nlu-corpus-146,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What causes hepatic encephalopathy?,nlu-corpus-146,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-147,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-147,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-147,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's this patient's current pain management status?,nlu-corpus-147,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-148,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-148,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-148,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Is this patient's fever trending down?,nlu-corpus-148,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-149,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-149,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-149,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's the current fall risk status for this patient?,nlu-corpus-149,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
emergency_alert query,nlu-corpus-15,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-15,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|emergency_alert|corpus,nlu-corpus-15,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
"Acute agitation, danger to self and others",nlu-corpus-15,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-150,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-150,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-150,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Review this patient's fluid balance over the last 24 hours,nlu-corpus-150,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-151,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-151,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-151,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's the latest update on this patient's code status discussion?,nlu-corpus-151,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-152,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-152,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-152,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What's this patient's current sedation level?,nlu-corpus-152,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-153,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-153,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-153,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Has the patient's restraint order been reassessed today?,nlu-corpus-153,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-154,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-154,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-154,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Has this patient spiked a fever in the last hour?,nlu-corpus-154,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-155,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-155,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-155,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Is this patient ambulating independently yet?,nlu-corpus-155,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-156,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-156,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-156,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Give me the nursing update from the last shift change,nlu-corpus-156,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
clinical_guideline_lookup query,nlu-corpus-157,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-157,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|clinical_guideline_lookup|corpus,nlu-corpus-157,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Show the guideline for post-intubation sedation management,nlu-corpus-157,clinical_guideline_lookup,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
general_clinical_query query,nlu-corpus-158,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-158,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|general_clinical_query|corpus,nlu-corpus-158,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
What are the risk factors for venous thromboembolism?,nlu-corpus-158,general_clinical_query,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
patient_status_update query,nlu-corpus-159,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-159,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|patient_status_update|corpus,nlu-corpus-159,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
Update on the patient's post-op recovery status,nlu-corpus-159,patient_status_update,ai-workflow|clinical,ai-workflow-pack,product-core-platform,intent,0.95
emergency_alert query,nlu-corpus-16,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,name,0.92
/api/nlu/predict,nlu-corpus-16,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,route,0.9
nlu|emergency_alert|corpus,nlu-corpus-16,emergency_alert,ai-workflow|clinical,ai-workflow-pack,product-core-platform,tags,0.78
